camera,site,treatment,total hours deployed,date,time,species,number,location,notes,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,9:40,porgy,1,above plot,deployed 9:30,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,9:54,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,10:30,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,10:32,juvenile striped sea robin ,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:00,unidentified large fish,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:11,juvenile black seabass,1,in plot,hard to tell,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:32,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:33,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:34,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:35,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:36,juvenile black seabass,1,in plot,same as 32,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:38,juvenile black seabass,2,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:39,juvenile black seabass,3,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:40,juvenile black seabass,2,in plot,group,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:44,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,11:49,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:13,small crab or snail,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:14,small crab or snail,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,12:38,porgy,1,above plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:13,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:14,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:15,juvenile black seabass,1,in plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:16,juvenile black seabass,1,above plot,same as 14,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:30,juvenile black seabass,1,out of plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:32,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,13:34,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:02,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:03,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:04,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:04,porgy,1,above plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:05,juvenile black seabass,1,in plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:05,porgy,1,above plot,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:30,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:31,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:32,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:33,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:34,juvenile black seabass,1,just outside,same,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,14:59,juvenile black seabass,1,just outside,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:00,juvenile black seabass,1,just outside,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:01,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:03,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:05,juvenile black seabass,2,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:14,juvenile black seabass,1,in plot,,,,,,,,,,,,,,,,,,
5,Orient Point,control,24,8/2/2022,15:35,large unidentified fish,1,above plot,,,,,,,,,,,,,,,,,,
